posts,move,half_life_h
0,0.0,6.0
2,0.0,6.0
4,0.0,6.0
6,0.0,6.0
8,0.0,6.0
10,0.0,6.0
12,0.0,6.0
14,0.0,6.0
16,0.0,5.625
18,0.0,5.0
20,0.0,4.5
22,0.0,4.0909
24,0.0,3.75
26,0.0,3.4615
28,0.0,3.2143
30,0.0,3.0
32,0.0,2.8125
34,0.0,2.6471
36,0.0,2.5
38,0.0,2.3684
40,0.0,2.25
42,0.0,2.1429
44,0.0,2.0455
46,0.0,1.9565
48,0.0,1.875
50,0.0,1.8
52,0.0,1.7308
54,0.0,1.6667
56,0.0,1.6071
58,0.0,1.5517
60,0.0,1.5
0,0.01,6.0
2,0.01,6.0
4,0.01,6.0
6,0.01,6.0
8,0.01,6.0
10,0.01,6.0
12,0.01,6.0
14,0.01,6.0
16,0.01,5.625
18,0.01,5.0
20,0.01,4.5
22,0.01,4.0909
24,0.01,3.75
26,0.01,3.4615
28,0.01,3.2143
30,0.01,3.0
32,0.01,2.8125
34,0.01,2.6471
36,0.01,2.5
38,0.01,2.3684
40,0.01,2.25
42,0.01,2.1429
44,0.01,2.0455
46,0.01,1.9565
48,0.01,1.875
50,0.01,1.8
52,0.01,1.7308
54,0.01,1.6667
56,0.01,1.6071
58,0.01,1.5517
60,0.01,1.5
0,0.02,6.0
2,0.02,6.0
4,0.02,6.0
6,0.02,6.0
8,0.02,6.0
10,0.02,6.0
12,0.02,6.0
14,0.02,6.0
16,0.02,5.625
18,0.02,5.0
20,0.02,4.5
22,0.02,4.0909
24,0.02,3.75
26,0.02,3.4615
28,0.02,3.2143
30,0.02,3.0
32,0.02,2.8125
34,0.02,2.6471
36,0.02,2.5
38,0.02,2.3684
40,0.02,2.25
42,0.02,2.1429
44,0.02,2.0455
46,0.02,1.9565
48,0.02,1.875
50,0.02,1.8
52,0.02,1.7308
54,0.02,1.6667
56,0.02,1.6071
58,0.02,1.5517
60,0.02,1.5
0,0.03,6.0
2,0.03,6.0
4,0.03,6.0
6,0.03,6.0
8,0.03,6.0
10,0.03,6.0
12,0.03,6.0
14,0.03,6.0
16,0.03,5.625
18,0.03,5.0
20,0.03,4.5
22,0.03,4.0909
24,0.03,3.75
26,0.03,3.4615
28,0.03,3.2143
30,0.03,3.0
32,0.03,2.8125
34,0.03,2.6471
36,0.03,2.5
38,0.03,2.3684
40,0.03,2.25
42,0.03,2.1429
44,0.03,2.0455
46,0.03,1.9565
48,0.03,1.875
50,0.03,1.8
52,0.03,1.7308
54,0.03,1.6667
56,0.03,1.6071
58,0.03,1.5517
60,0.03,1.5
0,0.04,6.0
